time	epoch_time	flow	exhaust	p_flow	N2O_ppb	CO2_ppm	CH4_ppb	H2O_ppm	NH3_ppb	bin_INC2	bin_INC_valve
2015-08-30 18:30:00	1440959400	374.9022	76.6670	49.1817	417.0340	401.4040	3986.2130	4595.9250	  11.1420	1-0-00-0000-0000	0001
2015-08-30 21:30:00	1440970200	374.8435	75.9641	49.1782	410.8760	401.1110	3985.8990	4095.9320	  10.4640	1-0-00-0000-0000	0001
2015-08-31 00:30:00	1440981000	374.8256	75.3820	49.1692	407.3110	401.0160	3986.0050	3445.1830	   9.4250	1-0-00-0000-0000	0001
2015-08-31 03:30:00	1440991800	374.8118	76.2906	49.1720	410.5830	401.2240	3985.2570	3312.2940	   9.4690	1-0-00-0000-0000	0001
2015-08-31 06:30:00	1441002600	374.8311	76.2723	49.1720	414.5280	401.3940	3985.7750	2796.2560	   8.3720	1-0-00-0000-0000	0001
2015-08-31 21:48:00	1441057680	374.8339	78.4175	49.1671	418.8910	401.1300	3986.5990	6351.7710	1003.3750	1-0-00-0000-0000	0001
2015-09-01 00:48:00	1441068480	374.8394	78.0901	49.1512	413.4920	400.9870	3986.2380	3706.2090	 680.7020	1-0-00-0000-0000	0001
2015-09-01 03:48:00	1441079280	374.7925	78.3029	49.1519	428.8100	401.3680	3986.2380	5370.3650	 728.3230	1-0-00-0000-0000	0001
2015-09-01 06:48:00	1441090080	374.8042	77.9034	49.1525	413.6230	401.0040	3985.3700	4488.6280	 527.0370	1-0-00-0000-0000	0001
2015-09-01 15:12:00	1441120320	374.8725	80.1626	49.1498	417.3520	400.8260	3985.0330	1947.4170	 259.6610	1-0-00-0000-0000	0001
2015-09-01 18:12:00	1441131120	374.8456	77.8265	49.1512	426.8170	400.9320	3985.0760	1463.7300	 212.6320	1-0-00-0000-0000	0001
2015-09-01 21:12:00	1441141920	374.8608	77.0533	49.1519	418.1860	400.8350	3985.4710	1241.2460	 186.2480	1-0-00-0000-0000	0001
